"indexed.date-time",DOI,title,URL,author,"container-title",publisher,"short-container-title","created.date-time"
"[""2020-01-19T13:40:43.000Z"",""2020-01-19T13:40:43.000Z""]","10.1097/md.0000000000018782","[""Effect of isolation practice on the transmission of middle east respiratory syndrome coronavirus among hemodialysis patients""]","http://dx.doi.org/10.1097/md.0000000000018782","[{""given"":""Hayne Cho"",""sequence"":""first"",""affiliation"":[],""family"":""Park""},{""given"":""Sang-Ho"",""sequence"":""additional"",""affiliation"":[],""family"":""Lee""},{""given"":""Juhee"",""sequence"":""additional"",""affiliation"":[],""family"":""Kim""},{""given"":""Do Hyoung"",""sequence"":""additional"",""affiliation"":[],""family"":""Kim""},{""given"":""AJin"",""sequence"":""additional"",""affiliation"":[],""family"":""Cho""},{""given"":""Hee Jung"",""sequence"":""additional"",""affiliation"":[],""family"":""Jeon""},{""given"":""Jieun"",""sequence"":""additional"",""affiliation"":[],""family"":""Oh""},{""given"":""Jung-Woo"",""sequence"":""additional"",""affiliation"":[],""family"":""Noh""},{""given"":""Da-Wun"",""sequence"":""additional"",""affiliation"":[],""family"":""Jeong""},{""given"":""Yang-Gyun"",""sequence"":""additional"",""affiliation"":[],""family"":""Kim""},{""given"":""Chang-Hee"",""sequence"":""additional"",""affiliation"":[],""family"":""Lee""},{""given"":""Kyung Don"",""sequence"":""additional"",""affiliation"":[],""family"":""Yoo""},{""given"":""Young-Ki"",""sequence"":""additional"",""affiliation"":[],""family"":""Lee""}]","[""Medicine""]","Ovid Technologies (Wolters Kluwer Health)","[""Medicine""]","2020-01-16T16:29:47.000Z"
"[""2020-01-20T14:10:30.000Z"",""2020-01-20T14:10:30.000Z""]","10.7554/elife.51230.sa1","[""Decision letter: The human coronavirus HCoV-229E S-protein structure and receptor binding""]","http://dx.doi.org/10.7554/elife.51230.sa1",,,"eLife Sciences Publications, Ltd",,"2020-01-20T13:30:50.000Z"
"[""2020-01-21T05:13:31.000Z"",""2020-01-21T05:13:31.000Z""]","10.3389/fmicb.2019.02942","[""Characterization of Influenza A Virus Infection in Mouse Pulmonary Stem/Progenitor Cells""]","http://dx.doi.org/10.3389/fmicb.2019.02942","[{""given"":""Tai-Ling"",""sequence"":""first"",""affiliation"":[],""family"":""Chao""},{""given"":""Sing-Yi"",""sequence"":""additional"",""affiliation"":[],""family"":""Gu""},{""given"":""Pi-Han"",""sequence"":""additional"",""affiliation"":[],""family"":""Lin""},{""given"":""Yu-Tien"",""sequence"":""additional"",""affiliation"":[],""family"":""Chou""},{""given"":""Thai-Yen"",""sequence"":""additional"",""affiliation"":[],""family"":""Ling""},{""given"":""Sui-Yuan"",""sequence"":""additional"",""affiliation"":[],""family"":""Chang""}]","[""Frontiers in Microbiology""]","Frontiers Media SA","[""Front. Microbiol.""]","2020-01-21T04:30:06.000Z"
"[""2020-01-25T05:12:34.000Z"",""2020-01-25T05:12:34.000Z""]","10.3389/fmicb.2019.03022","[""Regulation of the ER Stress Response by the Ion Channel Activity of the Infectious Bronchitis Coronavirus Envelope Protein Modulates Virion Release, Apoptosis, Viral Fitness, and Pathogenesis""]","http://dx.doi.org/10.3389/fmicb.2019.03022","[{""given"":""Shumin"",""sequence"":""first"",""affiliation"":[],""family"":""Li""},{""given"":""Lixia"",""sequence"":""additional"",""affiliation"":[],""family"":""Yuan""},{""given"":""Guo"",""sequence"":""additional"",""affiliation"":[],""family"":""Dai""},{""given"":""Rui Ai"",""sequence"":""additional"",""affiliation"":[],""family"":""Chen""},{""given"":""Ding Xiang"",""sequence"":""additional"",""affiliation"":[],""family"":""Liu""},{""given"":""To Sing"",""sequence"":""additional"",""affiliation"":[],""family"":""Fung""}]","[""Frontiers in Microbiology""]","Frontiers Media SA","[""Front. Microbiol.""]","2020-01-24T04:20:12.000Z"
"[""2020-01-25T05:13:23.000Z"",""2020-01-25T05:13:23.000Z""]","10.35772/ghm.2019.01006","[""Emerging and re-emerging infectious diseases in Japan: epidemiology and infection prevention measures""]","http://dx.doi.org/10.35772/ghm.2019.01006","[{""given"":""Satoshi"",""sequence"":""first"",""affiliation"":[{""name"":""Division of Preparedness and Emerging Infections, Disease Control and Prevention Center, National Center for Global Health and Medicine, Tokyo, Japan.""}],""family"":""Kutsuna""}]","[""Global Health & Medicine""]","National Center for Global Health and Medicine (JST)","[""GHM""]","2020-01-22T22:04:36.000Z"
"[""2020-01-26T01:40:13.000Z"",""2020-01-26T01:40:13.000Z""]","10.1126/science.abb0389","[""Top stories: A push to build affordable electron microscopes, coronavirus is not a global emergency yet, and the voice of an ancient mummy""]","http://dx.doi.org/10.1126/science.abb0389","[{""given"":""Rodrigo"",""sequence"":""first"",""affiliation"":[],""family"":""Pérez Ortega""}]","[""Science""]","American Association for the Advancement of Science (AAAS)","[""Science""]","2020-01-25T01:10:09.000Z"
"[""2020-01-26T04:40:17.000Z"",""2020-01-26T04:40:17.000Z""]","10.17504/protocols.io.bbsginbw","[""Wuhan coronavirus (2019-nCoV) real-time RT-PCR ORF1ab 2020 (Wuhan-ORF1ab) v1 (protocols.io.bbsginbw)""]","http://dx.doi.org/10.17504/protocols.io.bbsginbw","[{""given"":""Judy"",""sequence"":""first"",""affiliation"":[],""family"":""A""},{""given"":""Ian"",""sequence"":""first"",""affiliation"":[],""family"":""Mackay""}]","[""protocols.io""]","ZappyLab, Inc.",,"2020-01-26T04:09:17.000Z"
"[""2020-01-26T04:40:17.000Z"",""2020-01-26T04:40:17.000Z""]","10.17504/protocols.io.ba86ihze","[""Wuhan coronavirus (2019-nCoV) real-time RT-PCR N gene 2020 (Wuhan-N) v1 (protocols.io.ba86ihze)""]","http://dx.doi.org/10.17504/protocols.io.ba86ihze","[{""given"":""Judy"",""sequence"":""first"",""affiliation"":[],""family"":""A""},{""given"":""Ian"",""sequence"":""first"",""affiliation"":[],""family"":""Mackay""}]","[""protocols.io""]","ZappyLab, Inc.",,"2020-01-26T04:11:55.000Z"
"[""2020-01-27T14:40:43.000Z"",""2020-01-27T14:40:43.000Z""]","10.12688/f1000research.channels.323","[""Coronavirus""]","http://dx.doi.org/10.12688/f1000research.channels.323",,"[""F1000Research Channels""]","F1000 Research Ltd",,"2020-01-27T14:20:06.000Z"
"[""2020-01-27T16:10:38.000Z"",""2020-01-27T16:10:38.000Z""]","10.2807/1560-7917.es.2020.25.3.2001231","[""Note from the editors: novel coronavirus (2019-nCoV)""]","http://dx.doi.org/10.2807/1560-7917.es.2020.25.3.2001231","[{""sequence"":""first"",""affiliation"":[],""name"":""Eurosurveillance editorial team""}]","[""Eurosurveillance""]","European Centre for Disease Control and Prevention (ECDC)",,"2020-01-23T19:55:13.000Z"
"[""2020-01-31T05:41:15.000Z"",""2020-01-31T05:41:15.000Z""]","10.31219/osf.io/ek9n4","[""Study on the virus transmission based on data analysis of confirmed cases of the new-type coronavirus pneumonia in China""]","http://dx.doi.org/10.31219/osf.io/ek9n4","[{""given"":""Peng"",""sequence"":""first"",""affiliation"":[],""family"":""Chen""}]",,"Center for Open Science",,"2020-01-31T05:23:37.000Z"
"[""2020-01-31T05:41:20.000Z"",""2020-01-31T05:41:20.000Z""]","10.31219/osf.io/jsurx","[""The US CDC RT-PCR probes for the Wuhan 2019-nCoV are non-specific for SARS - there is a better non-specific 500bp option (21852-22427) within the spike-protein""]","http://dx.doi.org/10.31219/osf.io/jsurx","[{""given"":""Sandeep"",""sequence"":""first"",""ORCID"":""http://orcid.org/0000-0003-0455-0723"",""authenticated-orcid"":true,""affiliation"":[],""family"":""Chakraborty""}]",,"Center for Open Science",,"2020-01-31T04:34:38.000Z"
"[""2020-01-31T10:10:37.000Z"",""2020-01-31T10:10:37.000Z""]","10.32634/0869-8155-2019-332-9-16-19","[""The prevalence of coronavirus infection of cats in megapolis""]","http://dx.doi.org/10.32634/0869-8155-2019-332-9-16-19","[{""given"":""A.A."",""sequence"":""first"",""affiliation"":[],""family"":""Shabeikin""},{""sequence"":""first"",""affiliation"":[],""name"":""Federal State Budget Scientific Institution “Federal Scientific Centre VIEV\""""},{""given"":""A.D."",""sequence"":""additional"",""affiliation"":[],""family"":""Filimonova""},{""given"":""A.V."",""sequence"":""additional"",""affiliation"":[],""family"":""Parshikova""},{""given"":""T.E."",""sequence"":""additional"",""affiliation"":[],""family"":""Shashurina""},{""given"":""M.V."",""sequence"":""additional"",""affiliation"":[],""family"":""Shabeikina""},{""given"":""E.E."",""sequence"":""additional"",""affiliation"":[],""family"":""Grishina""},{""given"":""I.A."",""sequence"":""additional"",""affiliation"":[],""family"":""Gulyukina""},{""sequence"":""additional"",""affiliation"":[],""name"":""(FSC VIEV)""},{""sequence"":""additional"",""affiliation"":[],""name"":""Federal State Budget Scientific Institution “Federal Scientific Centre VIEV\"" (FSC VIEV)""},{""sequence"":""additional"",""affiliation"":[],""name"":""Federal State Budget Scientific Institution “Federal Scientific Centre VIEV\"" (FSC VIEV)""},{""sequence"":""additional"",""affiliation"":[],""name"":""Federal State Budget Scientific Institution “Federal Scientific Centre VIEV\"" (FSC VIEV)""},{""sequence"":""additional"",""affiliation"":[],""name"":""Federal State Budget Scientific Institution “Federal Scientific Centre VIEV\"" (FSC VIEV)""},{""sequence"":""additional"",""affiliation"":[],""name"":""Federal State Budget Scientific Institution “Federal Scientific Centre VIEV\"" (FSC VIEV)""},{""sequence"":""additional"",""affiliation"":[],""name"":""Federal State Budget Scientific Institution “Federal Scientific Centre VIEV\"" (FSC VIEV)""}]","[""Agrarian science""]","Agrarian Science","[""AS""]","2020-01-31T09:44:28.000Z"
"[""2020-01-31T15:10:18.000Z"",""2020-01-31T15:10:18.000Z""]","10.12688/f1000research.22211.1","[""Therapeutic strategies in an outbreak scenario to treat the novel coronavirus originating in Wuhan, China""]","http://dx.doi.org/10.12688/f1000research.22211.1","[{""given"":""Robert L."",""sequence"":""first"",""ORCID"":""http://orcid.org/0000-0002-8669-6242"",""authenticated-orcid"":false,""affiliation"":[],""family"":""Kruse""}]","[""F1000Research""]","Faculty of 1000 Ltd","[""F1000Res""]","2020-01-31T14:30:09.000Z"
"[""2020-02-01T05:40:17.000Z"",""2020-02-01T05:40:17.000Z""]","10.1038/d41586-020-00209-y","[""What you need to know about the novel coronavirus""]","http://dx.doi.org/10.1038/d41586-020-00209-y","[{""given"":""Dan"",""sequence"":""first"",""affiliation"":[],""family"":""Fox""}]","[""Nature""]","Springer Science and Business Media LLC","[""Nature""]","2020-01-24T20:03:49.000Z"
"[""2020-02-01T15:23:19.000Z"",""2020-02-01T15:23:19.000Z""]","10.1101/2020.01.23.916726","[""Modelling the epidemic trend of the 2019 novel coronavirus outbreak in China""]","http://dx.doi.org/10.1101/2020.01.23.916726","[{""given"":""Mingwang"",""sequence"":""first"",""affiliation"":[],""family"":""Shen""},{""given"":""Zhihang"",""sequence"":""additional"",""affiliation"":[],""family"":""Peng""},{""given"":""Yanni"",""sequence"":""additional"",""affiliation"":[],""family"":""Xiao""},{""given"":""Lei"",""sequence"":""additional"",""affiliation"":[],""family"":""Zhang""}]",,"Cold Spring Harbor Laboratory",,"2020-01-26T07:35:11.000Z"
"[""2020-02-02T00:41:21.000Z"",""2020-02-02T00:41:21.000Z""]","10.1136/bmj.m406","[""Response to the emerging novel coronavirus outbreak""]","http://dx.doi.org/10.1136/bmj.m406","[{""given"":""Ilona"",""sequence"":""first"",""affiliation"":[],""family"":""Kickbusch""},{""given"":""Gabriel"",""sequence"":""additional"",""affiliation"":[],""family"":""Leung""}]","[""BMJ""]",BMJ,"[""BMJ""]","2020-01-31T20:35:10.000Z"
"[""2020-02-02T15:10:22.000Z"",""2020-02-02T15:10:22.000Z""]","10.15421/021972","[""Experimental study of tropism in cultivated canine coronavirus in the small intestine of puppies""]","http://dx.doi.org/10.15421/021972","[{""given"":""L."",""sequence"":""first"",""ORCID"":""http://orcid.org/0000-0002-4251-614X"",""authenticated-orcid"":false,""affiliation"":[],""family"":""Goralskii""},{""given"":""N."",""sequence"":""additional"",""ORCID"":""http://orcid.org/0000-0003-0518-8148"",""authenticated-orcid"":false,""affiliation"":[],""family"":""Radzіkhovsky""},{""given"":""О."",""sequence"":""additional"",""ORCID"":""http://orcid.org/0000-0003-0256-5112"",""authenticated-orcid"":false,""affiliation"":[],""family"":""Dyshkant""},{""given"":""O."",""sequence"":""additional"",""ORCID"":""http://orcid.org/0000-0002-8999-8211"",""authenticated-orcid"":false,""affiliation"":[],""family"":""Dunaievska""},{""given"":""I."",""sequence"":""additional"",""ORCID"":""http://orcid.org/0000-0002-6237-0328"",""authenticated-orcid"":false,""affiliation"":[],""family"":""Sokulskiy""}]","[""Regulatory Mechanisms in Biosystems""]","Oles Honchar Dnipropetrovsk National University","[""Regul. Mech. Biosyst.""]","2020-02-02T14:28:00.000Z"
"[""2020-02-02T15:10:32.000Z"",""2020-02-02T15:10:32.000Z""]","10.32388/5n8hvj","[""SARS Coronavirus""]","http://dx.doi.org/10.32388/5n8hvj","[{""sequence"":""first"",""affiliation"":[],""name"":""National Cancer Institute""}]","[""Definitions""]",Qeios,,"2020-02-02T14:57:06.000Z"
