"type.keyword: Descending","publisher.keyword: Descending","short-container-title.keyword: Descending",Count
"journal-article","European Centre for Disease Control and Prevention (ECDC)","Euro Surveill.",3
"journal-article","Radiological Society of North America (RSNA)",Radiology,9
"journal-article","Radiological Society of North America (RSNA)","Radiology: Cardiothoracic Imaging",5
"journal-article","Bentham Science Publishers Ltd.",CTMC,3
"journal-article","Bentham Science Publishers Ltd.",CMIR,2
"journal-article","Bentham Science Publishers Ltd.",ACCTRA,1
"journal-article","Bentham Science Publishers Ltd.",CAD,1
"journal-article","Bentham Science Publishers Ltd.",CBE,1
"journal-article","Bentham Science Publishers Ltd.",CCMS,1
"journal-article","Bentham Science Publishers Ltd.",CRMR,1
"journal-article","Bentham Science Publishers Ltd.",LDDD,1
"journal-article","Bentham Science Publishers Ltd.",NEMJ,1
"journal-article","Bentham Science Publishers Ltd.",RRCT,1
"journal-article","Massachusetts Medical Society","N Engl J Med",13
"journal-article","American Chemical Society (ACS)","J. Med. Chem.",7
"journal-article","American Chemical Society (ACS)","ACS Appl. Mater. Interfaces",1
"journal-article","American Chemical Society (ACS)","ACS Cent. Sci.",1
"journal-article","American Chemical Society (ACS)","ACS Chem. Neurosci.",1
"journal-article","American Chemical Society (ACS)","ACS Infect. Dis.",1
"journal-article","American Chemical Society (ACS)",Biochemistry,1
"journal-article","Korean Academy of Medical Sciences (KAMJE)","J Korean Med Sci",12
"journal-article","American College of Physicians","Ann Intern Med",10
"journal-article","Mary Ann Liebert Inc","Viral Immunology",3
"journal-article","Mary Ann Liebert Inc","DNA and Cell Biology",2
"journal-article","Mary Ann Liebert Inc","Breastfeeding Medicine",1
"journal-article","Mary Ann Liebert Inc","Human Gene Therapy",1
"journal-article","Mary Ann Liebert Inc","Pediatric Allergy, Immunology, and Pulmonology",1
"journal-article","Mary Ann Liebert Inc","Population Health Management",1
"journal-article","Mary Ann Liebert Inc","Surgical Infections",1
"journal-article","The Korean Society of Radiology (KAMJE)","Korean J Radiol",10
"journal-article","American Roentgen Ray Society","American Journal of Roentgenology",9
"journal-article","Mark Allen Group","Br J Nurs",2
"journal-article","Mark Allen Group","Br J Hosp Med",1
"journal-article","Mark Allen Group","British Journal of Healthcare Management",1
"journal-article","Mark Allen Group","British Journal of Midwifery",1
"journal-article","Mark Allen Group","Independent Nurse",1
"journal-article","Mark Allen Group","International Paramedic Practice",1
"journal-article","Mark Allen Group","Journal of Prescribing Practice",1
"journal-article","Mark Allen Group","Practice Management",1
"journal-article","Australian Government Department of Health","Commun Dis Intell",7
"journal-article","International Research and Cooperation Association for Bio & Socio-Sciences Advancement (IRCA-BSSA)",BST,6
"journal-article","International Research and Cooperation Association for Bio & Socio-Sciences Advancement (IRCA-BSSA)","DD&T",1
"journal-article","American Association for the Advancement of Science (AAAS)",Science,6
"journal-article","Annual Reviews","Annu. Rev. Med.",2
"journal-article","Annual Reviews","Annu. Rev. Microbiol.",2
"journal-article","Annual Reviews","Annu. Rev. Virol.",2
